c_d,ce_cs,ce_sg,f_q,f_sg,c_q,ca_sg,w,w/c,p_q,p_ts,p_sg,slump,c_sg,c_cs
488.1,37.9,3.14,654.9,2.75,976.1,2.51,209.9,0.42,0,60,1.11,7,2.452,38.71
488.1,37.9,3.14,622,2.75,976.1,2.51,209.9,0.42,8.8,60,1.11,6,2.424,42.14
488.1,37.9,3.14,589.4,2.75,976.1,2.51,209.9,0.42,17.6,60,1.11,5,2.407,39.71
488.1,37.9,3.14,556.6,2.75,976.1,2.51,209.9,0.42,26.4,60,1.11,4,2.384,36.73
379.6,37.9,3.14,745.9,2.75,976.1,2.51,210.2,0.54,0,60,1.11,8,2.413,31.58
379.6,37.9,3.14,708.6,2.75,976.1,2.51,210.2,0.54,10,60,1.11,7,2.396,35.36
379.6,37.9,3.14,671.3,2.75,976.1,2.51,210.2,0.54,20,60,1.11,5,2.368,31.76
379.6,37.9,3.14,634,2.75,976.1,2.51,210.2,0.54,30,60,1.11,5,2.337,28.91
382,39.2,3.13,686,2.57,872,2.7,188,0.6,0,58,1.3,8,2.41,20
382,39.2,3.13,618,2.57,872,2.7,194,0.6,36,58,1.3,5,2.382,18
382,39.2,3.13,549,2.57,872,2.7,198,0.6,73,58,1.3,2,2.36,12
382,39.2,3.13,649,2.57,824,2.7,204,0.5,0,58,1.3,9,2.36,27
382,39.2,3.13,584,2.57,824,2.7,208,0.5,34,58,1.3,7,2.32,22
382,39.2,3.13,519,2.57,824,2.7,212,0.5,69,58,1.3,5,2.31,17.5
350,42.5,3.14,802.7,2.61,996.4,2.67,185.5,0.53,0,59,1.32,13,2.387,41.5
350,42.5,3.14,788.4,2.61,920.4,2.67,213,0.61,45.9,59,1.32,12,2.326,32
350,42.5,3.14,774.1,2.61,844.5,2.67,227.5,0.65,91.7,59,1.32,12,2.277,22
350,42.5,3.14,759.9,2.61,768.5,2.67,259,0.74,137.5,59,1.32,13,2.223,12
350,42.5,3.14,713.3,2.61,996.4,2.67,199.5,0.57,45.9,59,1.32,12,2.336,31.5
350,42.5,3.14,624,2.61,996.4,2.67,210,0.6,91.7,59,1.32,12,2.29,25
350,42.5,3.14,534.6,2.61,996.4,2.67,224,0.64,137.5,59,1.32,12,2.243,22.5
350,42.5,3.14,713.3,2.61,996.4,2.67,185.5,0.53,45.9,59,1.32,12,2.347,31.5
350,42.5,3.14,624,2.61,996.4,2.67,182,0.52,91.7,59,1.32,12,2.297,31
350,42.5,3.14,534.6,2.61,996.4,2.67,182,0.52,137.5,59,1.32,13,2.554,28
350,44.8,3.12,619,2.63,1246,2.73,177,0.51,0,60,0.92,10,2.309,40
350,44.8,3.12,597.1,2.63,1246,2.73,177,0.51,8.8,170,0.92,12,2.255,38
350,44.8,3.12,575.1,2.63,1246,2.73,177,0.51,17.5,170,0.92,16,2.239,33
350,44.8,3.12,553.2,2.63,1246,2.73,177,0.51,26.3,45,0.92,23,2.214,32
350.00,44.8,3.12,531.2,2.63,1246.0,2.73,177.0,0.51,35.0,45,0.92,30,2.161,30.00
350.00,44.8,3.12,619.0,2.63,1246.0,2.73,177.0,0.51,0.0,60,0.92,10,2.309,40.00
350.00,44.8,3.12,597.1,2.63,1246.0,2.73,177.0,0.51,8.8,170,0.94,14,2.208,28.00
350.00,44.8,3.12,575.1,2.63,1246.0,2.73,177.0,0.51,17.5,170,0.94,17,2.148,24.00
350.00,44.8,3.12,553.2,2.63,1246.0,2.73,177.0,0.51,26.3,45,0.94,25,2.022,20.00
350.00,44.8,3.12,531.2,2.63,1246.0,2.73,177.0,0.51,35.0,45,0.94,30,2.005,18.00
461.50,42.9,3.15,534.2,2.43,1024.0,2.33,193.8,0.42,0.0,124,1.58,1,2.150,33.50
461.50,42.9,3.15,534.2,2.43,819.2,2.33,193.8,0.42,138.9,124,1.58,1,2.060,30.50
461.50,42.9,3.15,534.2,2.43,716.8,2.33,193.8,0.42,208.3,124,1.58,2,2.080,27.00
461.50,42.9,3.15,534.2,2.43,614.4,2.33,193.8,0.42,277.8,124,1.58,2,2.080,26.00
461.50,42.9,3.15,534.2,2.43,512.0,2.33,193.8,0.42,347.2,124,1.58,2,1.980,20.50
449.00,42.9,3.15,519.8,2.43,996.4,2.33,215.5,0.48,0.0,124,1.58,3,2.150,32.50
449.00,42.9,3.15,519.8,2.43,797.1,2.33,215.5,0.48,135.1,124,1.58,3,2.050,28.00
449.00,42.9,3.15,519.8,2.43,697.5,2.33,215.5,0.48,202.7,124,1.58,3,2.000,27.00
449.00,42.9,3.15,519.8,2.43,597.8,2.33,215.5,0.48,270.3,124,1.58,4,2.000,25.00
449.00,42.9,3.15,519.8,2.43,498.2,2.33,215.5,0.48,337.8,124,1.58,4,1.960,19.00
431.60,42.9,3.15,499.6,2.43,957.7,2.33,246.0,0.57,0.0,124,1.58,8,2.150,32.00
431.60,42.9,3.15,499.6,2.43,766.2,2.33,246.0,0.57,129.9,124,1.58,9,2.000,25.00
431.60,42.9,3.15,499.6,2.43,670.4,2.33,246.0,0.57,194.8,124,1.58,10,1.920,24.50
431.60,42.9,3.15,499.6,2.43,574.6,2.33,246.0,0.57,259.8,124,1.58,13,1.950,23.50
431.60,42.9,3.15,499.6,2.43,478.8,2.33,246.0,0.57,324.7,124,1.58,16,1.910,16.50
370.00,42.5,3.13,600.0,2.63,1250.0,1.45,200.0,0.54,0.0,140,1.49,9,2.402,36.00
370.00,42.5,3.13,540.0,2.63,1250.0,1.45,200.0,0.54,60.0,140,1.49,8,2.251,35.00
370.00,42.5,3.13,480.0,2.63,1250.0,1.45,200.0,0.54,120.0,140,1.49,6,2.134,34.00
370.00,42.5,3.13,420.0,2.63,1250.0,1.45,200.0,0.54,180.0,140,1.49,6,1.933,24.00
370.00,42.5,3.13,360.0,2.63,1250.0,1.45,200.0,0.54,240.0,140,1.49,2,1.784,14.00
370.00,42.5,3.13,300.0,2.63,1250.0,1.45,200.0,0.54,300.0,140,1.49,1,1.642,10.00
455.40,39.5,3.14,569.3,2.69,1138.5,2.72,236.8,0.52,0.0,50,1.30,17,2.447,42.00
455.40,39.5,3.14,540.8,2.69,1138.5,2.72,236.8,0.52,12.0,50,1.30,17,2.410,39.50
455.40,39.5,3.14,483.9,2.69,1138.5,2.72,236.8,0.52,36.7,50,1.30,17,2.328,38.50
455.40,39.5,3.14,398.5,2.69,1138.5,2.72,236.8,0.52,73.4,50,1.30,17,2.389,32.00
455.40,39.5,3.14,313.1,2.69,1138.5,2.72,236.8,0.52,110.1,50,1.30,16,2.354,25.00
455.40,39.5,3.14,199.3,2.69,1138.5,2.72,236.8,0.52,159.1,50,1.30,4,2.320,22.00
455.40,39.5,3.14,85.4,2.69,1138.5,2.72,236.8,0.52,208.0,50,1.30,1,2.055,18.00
455.40,39.5,3.14,569.3,2.69,1081.6,2.72,236.8,0.52,25.7,50,1.30,17,2.432,47.00
455.40,39.5,3.14,569.3,2.69,967.7,2.72,236.8,0.52,77.0,50,1.30,17,2.389,40.00
